body,event.name,framework.duration_ms,framework.event_id,framework.field.atributos,framework.field.autenticacoes,framework.field.avisos,framework.field.conceitos,framework.field.consistente,framework.field.dados,framework.field.durationMs,framework.field.encaminhamentos,framework.field.encerramento,framework.field.enlaces,framework.field.errosCorrigidos,framework.field.errosSemCorrecao,framework.field.hardening,framework.field.httpStatus,framework.field.ip,framework.field.linhas,framework.field.login,framework.field.metodo,framework.field.naoInterpretadas,framework.field.passos,framework.field.passosSelecao,framework.field.pendencias,framework.field.protecoes,framework.field.protocolo,framework.field.resultado,framework.field.rota,framework.field.roteadores,framework.field.status,framework.field.total,framework.field.traceId,framework.module,framework.status,http.request.method,http.response.status_code,http.route,severity,timeUnixNano,traceId
evento=http_access status=ok durationMs=1 httpStatus=200,http_access,1,ad1e2deb-ca3e-40dd-809b-d7df943af1b7,,,,,,,1,,,,,,,200,,,,,,,,,,,,,,,,,web,ok,GET,200,/manifest.webmanifest,INFO,1786419576000000000,04c23c751f144e39bdd444be767c932c
evento=http_access status=ok durationMs=11 httpStatus=200,http_access,11,6c71d5eb-2d2c-4ef6-af13-195b314dedc1,,,,,,,11,,,,,,,200,,,,,,,,,,,,,,,,,web,ok,GET,200,/telemetria,INFO,1786419576000000000,55dc983744ae4b5eb496b804f89868e0
evento=http_access status=ok durationMs=7 httpStatus=200,http_access,7,64164ac5-6eeb-46a1-b2af-05fc12247b2c,,,,,,,7,,,,,,,200,,,,,,,,,,,,,,,,,web,ok,GET,200,/manifest.webmanifest,INFO,1786419571000000000,b55f3e5527da43d8ab8951184d2074a5
evento=http_access status=ok durationMs=13 httpStatus=200,http_access,13,82f1487e-e74c-4f02-a728-ee2ff832844c,,,,,,,13,,,,,,,200,,,,,,,,,,,,,,,,,web,ok,GET,200,/,INFO,1786419570000000000,37ddaf373d174fca9aef90c8b295e037
evento=http_access status=ok durationMs=55 httpStatus=200,http_access,55,c8cf9559-3450-4172-b8cc-1bba50edb4d9,,,,,,,55,,,,,,,200,,,,,,,,,,,,,,,,,web,ok,GET,200,/telemetria,INFO,1786419545000000000,cf98223284ed46cd85aa2dd26dc1f445
evento=app_start status=ok status=ok,app_start,,71819f50-ca40-4d09-94ba-7870131c47ec,,,,,,,,,,,,,,,,,,,,,,,,,,,,ok,,,sistema,ok,,,,INFO,1786419016000000000,
evento=pagina_erro_exibida status=warn metodo=GET rota=/rota-inexistente-para-verificar-csp traceId=err-9bf3d771-5b5f,pagina_erro_exibida,,94e78971-1b83-40a0-a078-3004ab7c8e12,,,,,,,,,,,,,,,,,,GET,,,,,,,,/rota-inexistente-para-verificar-csp,,,,err-9bf3d771-5b5f,paginaErros,warn,,,,WARN,1786418394000000000,
evento=http_access status=ok,http_access,1,3e864cba-8eff-4e73-8a34-1f2a4c6f02b3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/sobre,INFO,1786418391000000000,1c49857457f3485b91d00098aec799c9
evento=http_access status=ok,http_access,2,a42fc1e8-88d4-44aa-a945-5e652b0e8e71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/seguranca,INFO,1786418389000000000,ba1253c9329b4975b9da31033baf2933
evento=http_access status=ok,http_access,2,1a2ebaf3-efc8-46b3-a459-cc5a6aae8501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/diagnostico,INFO,1786418386000000000,962e24c860244e6bb214e97c8e2abd21
evento=http_access status=ok,http_access,4,86f168c7-f91c-4c6a-a24b-831f79593f49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/simuladores/api/handshake,INFO,1786418384000000000,f251335f379e451c93a06c1832604011
evento=handshake status=ok dados=true encerramento=true passos=9,handshake,,380aa2d1-88d1-4e6e-ac75-8a3b4f61f27b,,,,,,true,,,true,,,,,,,,,,,9,,,,,,,,,,,simuladores,ok,GET,,/simuladores/api/handshake,INFO,1786418384000000000,f251335f379e451c93a06c1832604011
evento=http_access status=ok,http_access,2,715cf2ab-ddc8-4acf-9291-462a37722dea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/trafego,INFO,1786418384000000000,d3a5a85ad0934716a6362c6ea0939822
evento=http_access status=ok,http_access,46,62be809f-57ba-4f26-852e-7d2c6c273557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/resolucao-problemas,INFO,1786418381000000000,109053116e6a4c5a93761eefd094705d
evento=engenharia_reversa_parse status=ok avisos=3 consistente=true enlaces=3 errosCorrigidos=14 errosSemCorrecao=0 linhas=58 naoInterpretadas=0 pendencias=0 roteadores=3,engenharia_reversa_parse,,51a9b73a-34ad-42e6-ba59-e925c11eaaf8,,,3,,true,,,,,3,14,0,,,,58,,,0,,,0,,,,,3,,,,resolucaoProblemas,ok,GET,,/resolucao-problemas,INFO,1786418381000000000,109053116e6a4c5a93761eefd094705d
evento=http_access status=ok,http_access,20,93876225-61e8-4e27-9868-7b31ece0b07d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/resolucao-problemas,INFO,1786418378000000000,e362f95a4e634fd799a55a2ef70088fc
evento=http_access status=ok,http_access,33,70566990-4fa7-407f-a597-e3fd5d351ffa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/protocolos/ssh,INFO,1786418375000000000,17cd4dd210fd4ce8957968de976a88cb
evento=aprofundamento_view status=ok autenticacoes=6 conceitos=6 encaminhamentos=6 hardening=10 protocolo=ssh,aprofundamento_view,,dfebf39f-1c12-4dd2-bcb7-b493e0d4cda9,,6,,6,,,,6,,,,,10,,,,,,,,,,,ssh,,,,,,,protocolos,ok,GET,,/protocolos/ssh,INFO,1786418375000000000,17cd4dd210fd4ce8957968de976a88cb
evento=http_access status=ok,http_access,53,162eef1a-da53-443a-867e-90e8229b8548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/protocolos/bgp,INFO,1786418372000000000,227ff04fe22146b0babb4261c09b6891
evento=aprofundamento_view status=ok atributos=8 conceitos=6 passosSelecao=14 protecoes=6 protocolo=bgp,aprofundamento_view,,77098c1e-e55f-4c1a-ad0c-94b2a57db0b4,8,,,6,,,,,,,,,,,,,,,,,14,,6,bgp,,,,,,,protocolos,ok,GET,,/protocolos/bgp,INFO,1786418372000000000,227ff04fe22146b0babb4261c09b6891
evento=http_access status=ok,http_access,54,01f89474-76dd-46ed-9e1b-208b7b967c71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/protocolos,INFO,1786418370000000000,d6d052cca14d4f29aa40352c708d9d71
evento=catalog_load status=ok total=47,catalog_load,,17e6151c-9d9b-489d-b9d2-43bb9ac8f398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,,protocolos,ok,GET,,/protocolos,INFO,1786418370000000000,d6d052cca14d4f29aa40352c708d9d71
evento=catalog_load status=ok total=47,catalog_load,,ab7b8d58-974a-45d7-b0a4-622238206ba3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,,protocolos,ok,GET,,/protocolos,INFO,1786418370000000000,d6d052cca14d4f29aa40352c708d9d71
evento=http_access status=ok,http_access,14,4cd766f4-8ccc-4533-9583-db8d2c79f522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/portas,INFO,1786418367000000000,ad1962a0d3ec4057838674a1cf910266
evento=catalog_load status=ok total=30,catalog_load,,9c362ee2-153b-4e5a-9cbe-1bf130dec614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,portas,ok,GET,,/portas,INFO,1786418367000000000,ad1962a0d3ec4057838674a1cf910266
evento=http_access status=ok,http_access,78,f4c8c702-e51f-4412-b4fc-1057df462d03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/documentacao,INFO,1786418364000000000,da2d4e9a77b94160ba60a139635e8394
evento=http_access status=ok,http_access,1,6af0cbdb-4ef9-4729-b25e-c1cfa826f428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/history,INFO,1786418360000000000,807465cc6be3448aa7a537c965f9e747
evento=http_access status=ok,http_access,1000,698488d6-a90c-4ba0-a0f5-b55a08b525bb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/api/informacoes/geo,INFO,1786418360000000000,15365ef86363456c960e164321806080
evento=history_persist status=ok total=60,history_persist,,b0b601c6-5541-4485-9862-4eaff5b8341f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,,analiseDidatica,ok,GET,,/api/informacoes/geo,INFO,1786418360000000000,15365ef86363456c960e164321806080
evento=geo_lookup status=ok ip=visitante-001,geo_lookup,,e656f8a4-e126-4c9d-a2ac-50dd00e33f6f,,,,,,,,,,,,,,,visitante-001,,,,,,,,,,,,,,,,analiseDidatica,ok,GET,,/api/informacoes/geo,INFO,1786418360000000000,15365ef86363456c960e164321806080
evento=http_access status=ok,http_access,1,a0c5a56b-eb4a-4cda-a2fb-84c2e927103a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/history,INFO,1786418359000000000,4f55b1df80f8466384b7eb838cd9828f
evento=http_access status=ok,http_access,5,00cbb246-a746-43f9-b4b0-2f339d8ef9a6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/localizacao,INFO,1786418358000000000,9067e1ca325345dbb0254f3659660393
evento=http_access status=ok,http_access,4,8a2eff40-45f4-4833-a92c-c9a1bd83f234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/calculadora,INFO,1786418355000000000,7825ef3e30424ac7843d06e202d18722
evento=http_access status=ok,http_access,1,6fd88348-b7ae-43b6-a3ee-21773e3e1ba6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/mascara-referencia,INFO,1786418353000000000,5cd221ddf068412aa83ad94eea4cdc8e
evento=http_access status=ok,http_access,4,1ad54632-b897-48fd-b4bb-fba80b40b274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/mascara-referencia,INFO,1786418353000000000,df0a4e690dd34e1aaa06009ac03ec98b
evento=http_access status=ok,http_access,21,192e5bf7-5f1c-4eb2-85f7-6478202dd4dd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/analise,INFO,1786418353000000000,92c877543365451c9f93466591e249c4
evento=http_access status=ok,http_access,3,31ea329b-ce74-4e53-a3d8-62b071f95664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/,INFO,1786418350000000000,1b0c3ceccd9441bc8013950c20f411a3
evento=http_access status=ok,http_access,111,e1af6288-717c-47be-9bee-ba5a4977591a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/portas,INFO,1786418333000000000,4022df2f783a48b79c3890487f40bac2
evento=catalog_load status=ok total=30,catalog_load,,b492e93b-c698-46ab-9173-1263a370f572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,portas,ok,GET,,/portas,INFO,1786418333000000000,4022df2f783a48b79c3890487f40bac2
evento=app_start status=ok,app_start,,9e32dff7-2e3b-4cf6-9a01-bab7b634ab3d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sistema,ok,,,,INFO,1786418328000000000,
evento=http_access status=ok,http_access,1,d5d1519a-32d4-497d-9477-c24e7764ecfa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/manifest.webmanifest,INFO,1786416253000000000,0dbfed5f62be4f4e81bab49bea7c17f6
evento=http_access status=ok,http_access,17,e2b90d50-b543-4eef-b614-9ed56af063f8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/documentacao,INFO,1786416253000000000,cfeeace2ab1342f3a1e49e7f8441a5d8
evento=http_access status=ok,http_access,0,5e556809-538f-41e3-8b1e-5ab25560edcd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/manifest.webmanifest,INFO,1786416247000000000,1e0e1b02ce1142ea98b5ac28c5fde7f8
evento=http_access status=ok,http_access,1,2a8c1e07-6129-4b6d-b184-4d812a2a09ee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/sobre,INFO,1786416247000000000,bbb4ce3ede504cafb1a5ce5a623f61d1
evento=http_access status=ok,http_access,1,ed5eb324-c559-4da4-87b9-219799f19093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/manifest.webmanifest,INFO,1786415984000000000,48eb7a97550f405db3a611b1d39a1255
evento=http_access status=ok,http_access,10,d550754b-e61e-4f17-84d5-4ac51e5d9c6f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/portas,INFO,1786415984000000000,4e50f3e3021844b1bbd604f142c239b7
evento=catalog_load status=ok total=30,catalog_load,,f94a262a-ee6e-4176-a9a2-f13cf8563126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,portas,ok,GET,,/portas,INFO,1786415984000000000,4e50f3e3021844b1bbd604f142c239b7
evento=http_access status=ok,http_access,1,e852869c-df96-4cda-848c-6769ba31ada7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/manifest.webmanifest,INFO,1786415771000000000,f077b11a21ac470783c73e6d297f2373
evento=http_access status=ok,http_access,5,0fb60e86-a5ed-4046-a178-077798cd50d9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/portas,INFO,1786415770000000000,f5fe8574c20b491da9d1bf3bf2c79e74
evento=catalog_load status=ok total=30,catalog_load,,582840bb-c9a9-47ff-ad58-692124b847b7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,portas,ok,GET,,/portas,INFO,1786415770000000000,f5fe8574c20b491da9d1bf3bf2c79e74
evento=http_access status=ok,http_access,0,d228d9e0-04b3-463a-a043-fe10afc9b736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/manifest.webmanifest,INFO,1786415748000000000,d0cffddcb9d44d6bbc07c7defa225d5e
evento=http_access status=ok,http_access,4,d59774c5-769f-453e-a6a6-e2cf2e39778e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/portas,INFO,1786415748000000000,474767312b7040a38077c6de824d4ccc
evento=catalog_load status=ok total=30,catalog_load,,916f7b38-0b37-4eab-95b1-5750ab82005d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,portas,ok,GET,,/portas,INFO,1786415748000000000,474767312b7040a38077c6de824d4ccc
evento=http_access status=ok,http_access,6,6766209b-838b-442d-8c2f-be7e4ecc7190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/portas,INFO,1786415726000000000,2e0e9843aa594cba886668e769a3d53e
evento=catalog_load status=ok total=30,catalog_load,,e191ace1-bdd9-49bc-86d3-55cdd7f78ab8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,portas,ok,GET,,/portas,INFO,1786415726000000000,2e0e9843aa594cba886668e769a3d53e
evento=http_access status=ok,http_access,1,749792d7-e55a-48b1-a164-a0235e9a9ad0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/manifest.webmanifest,INFO,1786415632000000000,aa3420440f674e8daf3b1b03e220a769
evento=http_access status=ok,http_access,5,59de68e6-c7df-4052-8708-7cfcc36006de,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/portas,INFO,1786415632000000000,4e9e7023cf59470eb79f4df44a0a3fb4
evento=catalog_load status=ok total=30,catalog_load,,95b8e8bf-e8c9-40e0-9bd9-f38bb7ff8d3b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,portas,ok,GET,,/portas,INFO,1786415632000000000,4e9e7023cf59470eb79f4df44a0a3fb4
evento=http_access status=ok,http_access,1,72776674-2b3a-41de-8d98-1e7a24c70f4b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/manifest.webmanifest,INFO,1786415600000000000,1aa8bc90bebc42e695d1e5ebaad5c531
evento=http_access status=ok,http_access,5,de71461f-2a8a-4c6a-a0a8-4e9e6fc75b56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/portas,INFO,1786415600000000000,7e480411b9b142829b1435818c02b0b5
evento=catalog_load status=ok total=30,catalog_load,,d988c087-a91c-46cc-a211-3b3371343c3b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,portas,ok,GET,,/portas,INFO,1786415600000000000,7e480411b9b142829b1435818c02b0b5
evento=http_access status=ok,http_access,12,723cbcff-0b8c-40fe-9fe5-7fb4f23f13eb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/portas,INFO,1786415533000000000,49061ff985384a9d9b91f57e1fdbcd6e
evento=catalog_load status=ok total=30,catalog_load,,1146efcf-c789-4139-a4df-0700567b8358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,portas,ok,GET,,/portas,INFO,1786415533000000000,49061ff985384a9d9b91f57e1fdbcd6e
evento=http_access status=ok,http_access,3,6e2c6c88-3272-4eea-85a3-a315217e5790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/manifest.webmanifest,INFO,1786415522000000000,0b949b0934254603ae958749c1b4ba31
evento=http_access status=ok,http_access,99,7e1be96c-f0d4-4d6f-8b5e-f413a0977cf8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/portas,INFO,1786415521000000000,3e77567267f642b388df1690be97fa83
evento=catalog_load status=ok total=30,catalog_load,,c0901eaa-1130-47f8-b5a3-03acc9335b3b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,portas,ok,GET,,/portas,INFO,1786415521000000000,3e77567267f642b388df1690be97fa83
evento=http_access status=ok,http_access,1,7bbac5d3-685f-42b8-b488-339a6b242802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/manifest.webmanifest,INFO,1786415132000000000,96ef3f59dabc4820a9261286c1691f5d
evento=http_access status=ok,http_access,17,616e7198-dd7a-44df-93b8-d9c713005981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/portas,INFO,1786415132000000000,08e95992e8e74e7dbd25be97e3c8e312
evento=catalog_load status=ok total=30,catalog_load,,6354ba0f-a4e6-4f99-8a15-6010861ef1eb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,portas,ok,GET,,/portas,INFO,1786415132000000000,08e95992e8e74e7dbd25be97e3c8e312
evento=http_access status=ok,http_access,2,c8886b67-3aa8-44a4-bc76-e855712169a4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/manifest.webmanifest,INFO,1786415129000000000,b9a9be9ac51e4d919e4ce2ae31f759e3
evento=http_access status=ok,http_access,4,6dec0075-614e-498d-86f7-55fe3b0c33d7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/calculadora,INFO,1786415129000000000,bdff4396f68449cf9eb966b76e6fafbf
evento=http_access status=ok,http_access,1,e10f267b-8771-4853-b902-def84345ec47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/mascara-referencia,INFO,1786415126000000000,948d486b70b14414979fbacc206852f8
evento=http_access status=ok,http_access,2,ec47536f-d5da-4246-b654-f0ae16230f2b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/mascara-referencia,INFO,1786415126000000000,96c0e4e1bce749c88ffd4f26d2593b8c
evento=http_access status=ok,http_access,1,8db78a51-e495-49e6-b6f4-c2b4169551f6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/manifest.webmanifest,INFO,1786415126000000000,63b41ed923384ac3a1957fcb6e448bc9
evento=http_access status=ok,http_access,8,5533daa6-cac2-4a1c-9136-b0aaa16a6772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/analise,INFO,1786415126000000000,96f45e4493244e1d9d83164726da0b7d
evento=http_access status=ok,http_access,1,6ccb004e-c16b-4da3-81d5-3c6ddaab06e4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/manifest.webmanifest,INFO,1786415125000000000,3be143efe3b2418fad32c47ddeb6562b
evento=http_access status=ok,http_access,4,1143b1c2-1467-424d-979b-9e6565bf4535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/,INFO,1786415125000000000,9ab56f79f283483bbad39169fe66e56f
evento=http_access status=ok,http_access,4,3725299f-23cf-4018-b423-2c96423474bf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/mascara-referencia,INFO,1786415124000000000,6573ca6778174aab8685d1aabb055586
evento=http_access status=ok,http_access,5,413be411-765b-4042-a6eb-2864d1f73fd3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/mascara-referencia,INFO,1786415124000000000,5b4d21dc003e4e8ca441c084734a298b
evento=http_access status=ok,http_access,1,83e34bfd-f52b-4e9d-9218-fde5a32c477e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/manifest.webmanifest,INFO,1786415124000000000,70f38fec65a94eb19bf4350d6158c34f
evento=http_access status=ok,http_access,3,80900c65-7801-4641-a4a5-8cbf2afb0935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/analise,INFO,1786415124000000000,d21b8af856ad4618a85e6a409d30092c
evento=http_access status=ok,http_access,1,6a9aafdc-51f5-4be2-9e04-aafdb1aaac82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/manifest.webmanifest,INFO,1786415123000000000,6e38fb168d864ded85a59206da02634f
evento=http_access status=ok,http_access,1,d8959bad-5adf-4580-8bf3-52e9f8b371b2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/calculadora,INFO,1786415123000000000,0e12fa88c3a546338756ffc5284c86c7
evento=http_access status=ok,http_access,2,3752c998-3acb-44f1-96dd-facc9b1523d5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/manifest.webmanifest,INFO,1786415120000000000,24ebbbe43db04cad86971d22e11890c0
evento=http_access status=ok,http_access,2,febe9e8a-069e-4e0d-9e70-eb9c2e9be548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/resolucao-problemas,INFO,1786415120000000000,1585d2057e7d4a2f8e90eed85492065b
evento=http_access status=ok,http_access,2,391d0af9-56b4-4597-9e22-b709f71f2a10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/manifest.webmanifest,INFO,1786415097000000000,e227e6db71e645f9b74402291c102cc7
evento=http_access status=ok,http_access,3,90560cdf-a285-40db-b1da-1f0ec075d2f0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/resolucao-problemas,INFO,1786415097000000000,36a565d0db664e6b972054b78ff39378
evento=http_access status=ok,http_access,2,19c9f396-fbfd-4e4d-b906-73862f730b91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/manifest.webmanifest,INFO,1786415095000000000,d40dd8217ae945e7ac833c0fd5b658a1
evento=http_access status=ok,http_access,9,917ca860-2e44-4b88-b0a9-f87e7a37a171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/,INFO,1786415094000000000,609e9991e2e040bba31723a8a9b759a1
evento=pagina_erro_exibida status=warn metodo=GET rota=/rota-inexistente traceId=err-f1a6f3d5-ac90,pagina_erro_exibida,,7e128f77-8456-491e-b662-13166a7eece5,,,,,,,,,,,,,,,,,,GET,,,,,,,,/rota-inexistente,,,,err-f1a6f3d5-ac90,paginaErros,warn,,,,WARN,1786414999000000000,
evento=http_access status=ok,http_access,2,61563f72-e0ea-4c20-8842-d3edfa3d24a9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/sobre,INFO,1786414998000000000,21681e85828e449eb91a6f8fd1b17481
evento=http_access status=ok,http_access,75,e4a26ccd-4d6e-4c51-97b4-c812334499a9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/documentacao,INFO,1786414998000000000,85b00ae904304cc0a142715b873752b8
evento=http_access status=ok,http_access,2,44d32b4d-9671-4927-afdb-d21bd128f6ad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/seguranca,INFO,1786414998000000000,0b57a51dcecb4a1095c71602c940f532
evento=http_access status=ok,http_access,2,787aa037-0f15-4283-93a9-a2907488d1ce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/diagnostico,INFO,1786414998000000000,bc74728229e34c26ba7f3da1242e08ca
evento=http_access status=ok,http_access,2,075a2a38-ad08-4064-8db7-f595d0a9d8a7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/trafego,INFO,1786414998000000000,4bbba8edd66647e981cb169b91ba955d
evento=http_access status=ok,http_access,1,604089fa-c8cb-4ba7-996a-a89a8e4b2476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/localizacao,INFO,1786414998000000000,993c8bf29bae484a844d7c2426aec8f9
evento=http_access status=ok,http_access,62,0619fe4c-6d26-4478-9e56-e89e61f06c8f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/resolucao-problemas,INFO,1786414998000000000,9614d1a47d38468da769d5ca6e331857
