body,event.name,framework.duration_ms,framework.event_id,framework.field.atributos,framework.field.autenticacoes,framework.field.avisos,framework.field.conceitos,framework.field.consistente,framework.field.dados,framework.field.durationMs,framework.field.encaminhamentos,framework.field.encerramento,framework.field.enlaces,framework.field.errosCorrigidos,framework.field.errosSemCorrecao,framework.field.formato,framework.field.hardening,framework.field.host,framework.field.httpStatus,framework.field.ip,framework.field.linhas,framework.field.login,framework.field.metodo,framework.field.naoInterpretadas,framework.field.passos,framework.field.passosSelecao,framework.field.pendencias,framework.field.protecoes,framework.field.protocolo,framework.field.resultado,framework.field.rota,framework.field.roteadores,framework.field.status,framework.field.total,framework.field.traceId,framework.module,framework.status,http.request.method,http.response.status_code,http.route,severity,timeUnixNano,traceId
evento=http_access status=ok,http_access,0,72ba3b72-64b9-4082-a5d9-1f9c9ac68008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/trafego/api/aovivo,INFO,1786485875000000000,1aec5d307f254cc6a4d3b0b435b87fac
evento=http_access status=ok,http_access,0,9d530a14-1b3b-407d-89df-ad8e5e0fdadb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/trafego/api/aovivo,INFO,1786485874000000000,9bbb2c07bccf46aca7174f3696b2c513
evento=http_access status=ok,http_access,1,3d8722e1-538f-4001-be5c-21461bc898d7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/trafego/api/aovivo,INFO,1786485873000000000,d5e7de2160ba4eb6b0a82e9cbb51080f
evento=http_access status=ok,http_access,0,20a7c37c-b788-4b44-bcce-b3723ea2f6ba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/trafego/api/aovivo,INFO,1786485872000000000,f781518092cf42c1956c0d6e31be6768
evento=http_access status=ok,http_access,0,af734eaa-be70-4277-82a5-5b9e53ffc61f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/trafego/api/aovivo,INFO,1786485871000000000,c6050ab825c946b7abde5c824c3227ca
evento=http_access status=ok,http_access,0,886c9e39-5500-4af2-94bf-2c6ea9160b0c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/trafego/api/aovivo,INFO,1786485870000000000,702b4e5c045c4557a653d480b4775be9
evento=http_access status=ok,http_access,0,52137490-c0ce-415e-85cb-bbadc64845a5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/trafego/api/aovivo,INFO,1786485869000000000,524bb68f0e4f4e4694383757ab6a900f
evento=http_access status=ok,http_access,1,4dfb327c-c54b-4f6c-9cba-dc0392a8d063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/trafego/api/aovivo,INFO,1786485868000000000,d247c79a793f426ea5c4f1ba28ae841f
evento=http_access status=ok,http_access,1,cee2a144-d2d0-4a72-93e1-fa16e5e03712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/trafego/api/aovivo,INFO,1786485867000000000,ce8a40116ed94c149227a91035dfb72f
evento=http_access status=ok,http_access,1,2f939600-889f-4a9b-a8a0-3aa62a3dd7ed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/trafego/api/aovivo,INFO,1786485866000000000,46c5a140a5da4f328d8f7824b428792d
evento=http_access status=ok,http_access,1,ff4fdfe8-39e7-47f8-8864-928276cf7332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/trafego/api/aovivo,INFO,1786485865000000000,92c1200a704e4483887c22ca4ad94e1a
evento=http_access status=ok,http_access,1,aea26a77-8111-465c-8636-9ab3e07698d2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/trafego/api/aovivo,INFO,1786485864000000000,8bdfcca1aded4a93bc106a16099cc0fc
evento=http_access status=ok,http_access,1,af843349-c424-495e-bd92-6aa73117b487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/trafego/api/aovivo,INFO,1786485863000000000,557b3cbbc485489d91b7b09d9f3ec0d6
evento=http_access status=ok,http_access,1,38fc4759-bcc6-4329-a825-af837328e70a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/trafego/api/aovivo,INFO,1786485862000000000,a6aa550245a14715b4f8d397c18f4f84
evento=http_access status=ok,http_access,1,3958fc25-51c8-4543-9af4-efee05ff461f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/trafego/api/aovivo,INFO,1786485861000000000,d56ab25b1ea845ce9da0b611ace14603
evento=http_access status=ok,http_access,2,3ee87d8a-8c7f-45e2-914c-c081606ee675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/trafego/api/aovivo,INFO,1786485860000000000,0a80d6b9ead24cc0adcb6e514da2f582
evento=http_access status=ok,http_access,1,dbef6887-22e5-427a-a64e-3a635256834b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/trafego/api/aovivo,INFO,1786485859000000000,691d2e898a764191a87a90ef05f24d58
evento=http_access status=ok,http_access,13,ce77d592-9746-4582-80fa-e0f62ca9238f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/trafego/api/aovivo,INFO,1786485858000000000,e5ae18cb70dc48d9a1978614a38b7beb
evento=http_access status=ok,http_access,7,6c15a33f-0187-4c8d-92a9-77b34183fff1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/simuladores/api/handshake,INFO,1786485850000000000,74ccb7bc8a7345b084c648bb8a1ebb3a
evento=handshake status=ok dados=true encerramento=true passos=9,handshake,,e4652782-54eb-4285-adb3-100b3780ec99,,,,,,true,,,true,,,,,,,,,,,,,9,,,,,,,,,,,simuladores,ok,GET,,/simuladores/api/handshake,INFO,1786485850000000000,74ccb7bc8a7345b084c648bb8a1ebb3a
evento=http_access status=ok,http_access,0,7ba464c3-3727-45f9-8487-90e0f5f94f15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/manifest.webmanifest,INFO,1786485850000000000,9501000cebfc42279e9b52132d42deb7
evento=http_access status=ok,http_access,14,cf476867-49cb-4ad8-a969-68ccf208227f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,web,ok,GET,200,/trafego,INFO,1786485850000000000,b0e64fae0c6a485fa99fd5cfcd3a1f3b
