body,event.name,framework.duration_ms,framework.event_id,framework.field.atributos,framework.field.autenticacoes,framework.field.avisos,framework.field.conceitos,framework.field.consistente,framework.field.durationMs,framework.field.encaminhamentos,framework.field.enlaces,framework.field.errosCorrigidos,framework.field.errosSemCorrecao,framework.field.hardening,framework.field.httpStatus,framework.field.ip,framework.field.linhas,framework.field.login,framework.field.metodo,framework.field.naoInterpretadas,framework.field.passosSelecao,framework.field.pendencias,framework.field.protecoes,framework.field.protocolo,framework.field.resultado,framework.field.rota,framework.field.roteadores,framework.field.status,framework.field.total,framework.field.traceId,framework.module,framework.status,http.request.method,http.response.status_code,http.route,severity,timeUnixNano,traceId
evento=http_access status=ok durationMs=51 httpStatus=200,http_access,51,e2fa17b6-715e-4cf4-b228-0d5e5bfe0ac5,,,,,,51,,,,,,200,,,,,,,,,,,,,,,,web,ok,GET,200,/manifest.webmanifest,INFO,1786717644000000000,2c05e3ed1d5c4eca9434b79a87341f42
evento=http_access status=ok durationMs=16 httpStatus=200,http_access,16,97e22d52-aa26-4290-885b-2c8fa8f2dc30,,,,,,16,,,,,,200,,,,,,,,,,,,,,,,web,ok,GET,200,/,INFO,1786717643000000000,c9953c54767c4648adb6e42f4eb39566
evento=http_access status=ok durationMs=11 httpStatus=200,http_access,11,4d33b4b6-53cf-4be2-906e-92de5597236a,,,,,,11,,,,,,200,,,,,,,,,,,,,,,,web,ok,GET,200,/,INFO,1786716678000000000,dc6a0f9db06d44519c6bbfc875019c18
evento=http_access status=ok durationMs=6 httpStatus=200,http_access,6,20ff49b9-9105-4e79-a74e-9e7b58db5f20,,,,,,6,,,,,,200,,,,,,,,,,,,,,,,web,ok,GET,200,/,INFO,1786714962000000000,80538ec2be8d43e6b551294fbeec0262
evento=http_access status=ok durationMs=11 httpStatus=200,http_access,11,b75186de-af33-4920-8039-c40443f566c1,,,,,,11,,,,,,200,,,,,,,,,,,,,,,,web,ok,HEAD,200,/,INFO,1786714962000000000,edd32f599693479f8708081202c5b6f9
evento=http_access status=ok durationMs=15 httpStatus=200,http_access,15,5803c14f-008d-42d9-8dde-84e011b8b1b3,,,,,,15,,,,,,200,,,,,,,,,,,,,,,,web,ok,GET,200,/,INFO,1786714800000000000,8124f9256a204efea9e4a273824c5a5f
evento=http_access status=ok durationMs=3 httpStatus=200,http_access,3,3884ccd5-8143-421f-a67b-fcc67a6ba1c2,,,,,,3,,,,,,200,,,,,,,,,,,,,,,,web,ok,GET,200,/,INFO,1786713538000000000,a1cea5d17c1347e2b730827ad9776c10
evento=http_access status=ok durationMs=171 httpStatus=200,http_access,173,c9026838-ad80-45e7-bb09-b730410d81b7,,,,,,171,,,,,,200,,,,,,,,,,,,,,,,web,ok,GET,200,/,INFO,1786713536000000000,462392ba60a642f396ee2e78ff6620a0
evento=http_access status=ok durationMs=23 httpStatus=200,http_access,23,cd42d226-b344-488c-98ee-39161b16923c,,,,,,23,,,,,,200,,,,,,,,,,,,,,,,web,ok,GET,200,/localizacao,INFO,1786661686000000000,ba8df46882494a418340d49a2c05ff23
evento=http_access status=ok durationMs=1 httpStatus=200,http_access,1,e24ca52a-5752-4b64-b727-09efbe1fa6d3,,,,,,1,,,,,,200,,,,,,,,,,,,,,,,web,ok,GET,200,/,INFO,1786659895000000000,13c8a603b2074f02abcfab1cd2c1362f
evento=http_access status=ok durationMs=34 httpStatus=200,http_access,34,3c6e8bdf-6a84-4792-af24-8a2ba5320d1a,,,,,,34,,,,,,200,,,,,,,,,,,,,,,,web,ok,GET,200,/,INFO,1786659894000000000,6b89ee44f53c43a7b32a0790b1b2a2a2
evento=pagina_erro_exibida status=warn httpStatus=404 metodo=GET rota=/robots.txt traceId=err-1c02b923-2a8f,pagina_erro_exibida,,9b42739a-eba1-4ce6-950b-b46b717e2287,,,,,,,,,,,,404,,,,GET,,,,,,,/robots.txt,,,,err-1c02b923-2a8f,paginaErros,warn,,,,WARN,1786659894000000000,
evento=pagina_erro_exibida status=warn httpStatus=404 metodo=GET rota=/admin traceId=err-d03a95de-3bb1,pagina_erro_exibida,,024875a2-c0de-4d26-8e99-0e6debaaad9f,,,,,,,,,,,,404,,,,GET,,,,,,,/admin,,,,err-d03a95de-3bb1,paginaErros,warn,,,,WARN,1786629080000000000,
evento=http_access status=ok durationMs=135 httpStatus=200,http_access,135,f7794bff-214d-4463-8c71-051eccbfb10c,,,,,,135,,,,,,200,,,,,,,,,,,,,,,,web,ok,GET,200,/admin/login,INFO,1786629079000000000,05dcaa2f2dc14c0ebd9c2c6c6d3cfa3d
evento=http_access status=ok durationMs=37 httpStatus=200,http_access,37,b5d67764-3438-43af-b73f-7923bff062c6,,,,,,37,,,,,,200,,,,,,,,,,,,,,,,web,ok,GET,200,/login,INFO,1786629078000000000,31a2242b9e6149ab98ffd339047b9bd6
evento=pagina_erro_exibida status=warn httpStatus=404 metodo=GET rota=/register traceId=err-e671d5ac-3675,pagina_erro_exibida,,bea13ffb-8504-44d8-8a10-8cf18f993a65,,,,,,,,,,,,404,,,,GET,,,,,,,/register,,,,err-e671d5ac-3675,paginaErros,warn,,,,WARN,1786629076000000000,
evento=http_access status=ok durationMs=119 httpStatus=200,http_access,121,fe136ba5-6665-43ee-af96-fcc4198fe2f0,,,,,,119,,,,,,200,,,,,,,,,,,,,,,,web,ok,GET,200,/,INFO,1786624409000000000,f727109528c443baad93fea32461836b
evento=http_access status=ok durationMs=107 httpStatus=200,http_access,109,b2bcdacc-1c34-46c3-99fb-89ae8110e53c,,,,,,107,,,,,,200,,,,,,,,,,,,,,,,web,ok,GET,200,/,INFO,1786552616000000000,e0090b10a159458593bf0a4357a28f41
evento=http_access status=ok durationMs=90 httpStatus=200,http_access,92,e1e0fe36-481d-4660-aacb-631283aa8cab,,,,,,90,,,,,,200,,,,,,,,,,,,,,,,web,ok,GET,200,/,INFO,1786535822000000000,8ae3fcba0f0e495cae1d87ce4c3e3538
evento=http_access status=ok durationMs=1 httpStatus=200,http_access,1,dd56269e-91f1-4923-a235-9e019fdbb590,,,,,,1,,,,,,200,,,,,,,,,,,,,,,,web,ok,GET,200,/manifest.webmanifest,INFO,1786503758000000000,ddf4537956d44f2e8c78b3733d9198cd
evento=http_access status=ok durationMs=4 httpStatus=200,http_access,4,21f3436a-d8be-41ef-96ff-ab4f4bb823fc,,,,,,4,,,,,,200,,,,,,,,,,,,,,,,web,ok,GET,200,/,INFO,1786503757000000000,f851b6d428c7452b840da74a592d1d79
evento=http_access status=ok durationMs=233 httpStatus=200,http_access,233,ae42a5fd-23e8-479e-898d-440908b8d7e0,,,,,,233,,,,,,200,,,,,,,,,,,,,,,,web,ok,GET,200,/protocolos/bgp,INFO,1786503734000000000,194cc4387a5d4448a3ebdb9101bc0b84
evento=aprofundamento_view status=ok atributos=8 conceitos=6 passosSelecao=14 protecoes=6 protocolo=bgp,aprofundamento_view,,f1a48187-2505-490d-8b9a-661b6fa3732d,8,,,6,,,,,,,,,,,,,,14,,6,bgp,,,,,,,protocolos,ok,GET,,/protocolos/bgp,INFO,1786503734000000000,194cc4387a5d4448a3ebdb9101bc0b84
evento=http_access status=ok durationMs=26 httpStatus=200,http_access,26,e2b74943-38af-4749-9827-9acc5af3d1bb,,,,,,26,,,,,,200,,,,,,,,,,,,,,,,web,ok,GET,200,/analise,INFO,1786503734000000000,2e1b06c1e50b41168dccf5f66f3bca1e
evento=http_access status=ok durationMs=4 httpStatus=303,http_access,4,75631777-33d6-46b2-9d1a-7d3f89cc5d14,,,,,,4,,,,,,303,,,,,,,,,,,,,,,,web,ok,GET,303,/telemetria,INFO,1786503734000000000,0fb74d2b570445758643e490a42e7c10
evento=http_access status=ok durationMs=1 httpStatus=200,http_access,1,58d2b553-d11f-4e9d-b397-58ddde6c48fd,,,,,,1,,,,,,200,,,,,,,,,,,,,,,,web,ok,GET,200,/login,INFO,1786503734000000000,dc09bcccd09b47dab790e94fff8918f2
evento=http_access status=ok durationMs=2 httpStatus=200,http_access,2,3d825004-5693-47f4-b2f6-c619a62560ae,,,,,,2,,,,,,200,,,,,,,,,,,,,,,,web,ok,GET,200,/,INFO,1786503733000000000,3ef6d49f4a2e4d969f2dfb5ff3939cf1
evento=http_access status=error durationMs=21 httpStatus=401,http_access,21,ca3fbce6-569a-42f2-8c0c-ba5448622c28,,,,,,21,,,,,,401,,,,,,,,,,,,,,,,web,error,POST,401,/login/chave,WARN,1786503715000000000,87d725318f1440578878ef8f02cec974
evento=login_contingencia status=recusado resultado=recusado,login_contingencia,,c12c4e76-7195-440b-b356-7aa4c81aa500,,,,,,,,,,,,,,,,,,,,,,recusado,,,,,,seguranca,recusado,POST,,/login/chave,WARN,1786503715000000000,87d725318f1440578878ef8f02cec974
evento=http_access status=ok durationMs=9 httpStatus=200,http_access,9,70c70324-3a8d-4417-a439-e940c648dc4e,,,,,,9,,,,,,200,,,,,,,,,,,,,,,,web,ok,GET,200,/login,INFO,1786503715000000000,18400d6ac6fc4183ad02bfc688b5b388
evento=http_access status=ok durationMs=6 httpStatus=200,http_access,6,ba366720-0106-4c94-804b-5ca85d0bd15f,,,,,,6,,,,,,200,,,,,,,,,,,,,,,,web,ok,GET,200,/manifest.webmanifest,INFO,1786503690000000000,0c24a90d34694ee38e22f79314e4961f
evento=http_access status=ok durationMs=33 httpStatus=200,http_access,33,957959e6-1f79-463a-96f8-504da4a3396f,,,,,,33,,,,,,200,,,,,,,,,,,,,,,,web,ok,GET,200,/,INFO,1786503690000000000,c50e5d5ed9ae4c14a3c112456897931a
evento=app_start status=ok status=ok,app_start,,619b8b14-0b57-45f9-803c-bd16e6356a43,,,,,,,,,,,,,,,,,,,,,,,,,ok,,,sistema,ok,,,,INFO,1786503680000000000,
